INFO 2025-03-31 14:47:56,248 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-31 14:47:56,249 autoreload Waiting for apps ready_event.
DEBUG 2025-03-31 14:47:56,257 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-31 14:47:56,556 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2025-03-31 14:47:56,556 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\tailwind\templates with glob **/*.
DEBUG 2025-03-31 14:47:56,556 autoreload Watching dir D:\website\bakery_order_system\orders\templates with glob **/*.
DEBUG 2025-03-31 14:47:56,556 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-31 14:47:56,557 autoreload Watching dir D:\website\bakery_order_system\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,557 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,558 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,558 autoreload Watching dir D:\website\bakery_order_system\orders\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,558 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,558 autoreload Watching dir D:\website\bakery_order_system\venv\Lib\site-packages\tailwind\locale with glob **/*.mo.
DEBUG 2025-03-31 14:47:56,578 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-31 14:47:56,580 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-31 14:47:56,686 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\ctypes\__init__.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,686 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\hmac.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,687 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1740739842.5288148
DEBUG 2025-03-31 14:47:56,687 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1740739842.5605013
DEBUG 2025-03-31 14:47:56,687 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_itertools.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,687 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1740739844.2222016
DEBUG 2025-03-31 14:47:56,687 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\encodings\utf_8.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,687 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1740739842.1852634
